subjectID,l_fit,beta,tau,condition,NLL,AIC
wwko8kyp,6.4576842491187065,0.006737946999085467,0.06782765496775083,0,719.1240404552937,1448.2480809105873
2a5gce3t,0.9264580443846013,0.3875275147261015,0.0791980774032589,0,768.5858979705055,1547.171795941011
dxt2hbe5,4.136308542760414,0.006737946999085467,0.052492331791912046,0,626.8044230369618,1263.6088460739236
5fuqa1v9,0.6188444719656498,0.4054276776427762,0.07725723554662776,0,691.3535810374867,1392.7071620749734
tec0scn8,9.730219019360232,0.575496272705488,0.056338037481666395,0,689.7788342919555,1389.557668583911
z7gxue2j,16.438887615504413,0.7281965801422446,0.05741808135293048,0,721.250665045281,1452.501330090562
1y3mvrby,11.599070925553537,0.006737946999085467,0.05995542803826301,0,775.4237546449332,1560.8475092898664
m483enhb,8.653143848375855,0.30058041761826826,0.056990842335492425,0,692.0291343014337,1394.0582686028674
3qwj979a,9.500322419935298,0.30815941304468897,0.06671840101817925,0,726.2608202287983,1462.5216404575965
g1t94n5d,0.7444141743689083,0.3267700624839971,0.06409009664038418,0,656.9966733410067,1323.9933466820135
