"","X","subjectID","l_fit","beta","tau","phi","block_nr","trial_nr","initial_opened","selected_choice","reward","average_reward","initial_opened_value","selected_choice_value","type","rewarded","trial_nr_c","block_nr_c","animal_opened","animal","prev_reward","distance_prev","distance","new_click","HV_click","logtrial","logdistance","logdistance_prev","loground","prev_reward_c","rres"
"20047",20047,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,12,302,233,69.4355577817319,66.9914560041134,"owl","leech","sell",TRUE,2,9.5,"owl","leech",69.999055804939,0,0,FALSE,TRUE,0.50631660285056,0,0,0.873368181869625,1.23787706611512,33.1737203796007
"20048",20048,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,13,302,233,70.5284831737551,67.2272578154229,"owl","leech","sell",TRUE,3,9.5,"owl","leech",69.4355577817319,0,0,FALSE,TRUE,0.599195295529687,0,0,0.873368181869625,1.20228802538452,32.6102223563936
"20049",20049,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,14,302,233,69.7084803084309,67.3823342212359,"owl","leech","sell",TRUE,4,9.5,"owl","leech",70.5284831737551,0,0,FALSE,TRUE,0.685663289750269,0,0,0.873368181869625,1.27131429467087,33.7031477484168
"20050",20050,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,15,302,233,71.0409921533249,67.5975493937117,"owl","leech","sell",TRUE,5,9.5,"owl","leech",69.7084803084309,0,0,FALSE,TRUE,0.76654869649528,0,0,0.873368181869625,1.21952508837138,32.8831448830926
"20051",20051,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,16,302,233,68.262382217717,67.6344845506009,"owl","leech","sell",TRUE,6,9.5,"owl","leech",71.0409921533249,0,0,FALSE,TRUE,0.842528856994034,0,0,0.873368181869625,1.30368300262995,34.2156567279866
"20052",20052,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,17,302,233,68.294832301503,67.6692396953852,"owl","leech","sell",TRUE,7,9.5,"owl","leech",68.262382217717,0,0,FALSE,TRUE,0.914164857801813,0,0,0.873368181869625,1.12819336806126,31.4370467923787
"20053",20053,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,18,302,233,69.9930356136015,67.785429491296,"owl","leech","sell",TRUE,8,9.5,"owl","leech",68.294832301503,0,0,FALSE,TRUE,0.981926701533818,0,0,0.873368181869625,1.1302428292945,31.4694968761648
"20054",20054,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,19,302,233,69.6774253106929,67.8755245303149,"owl","leech","sell",TRUE,9,9.5,"owl","leech",69.9930356136015,0,0,FALSE,TRUE,1.04621201372721,0,0,0.873368181869625,1.23749684679599,33.1677001882633
"20055",20055,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,24,20,302,233,68.2611704755613,67.8930538914625,"owl","leech","sell",TRUE,10,9.5,"owl","leech",69.6774253106929,0,0,FALSE,TRUE,1.10736018081316,0,0,0.873368181869625,1.21756373707311,32.8520898853546
"20056",20056,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,0,343,209,47.7884298265202,42.0658565855296,"rabbit","insect","sell",TRUE,-10,10.5,"rabbit","insect",36.343283344539,7.1754,7.1754,TRUE,FALSE,-2.70830574054639,0.912509010695372,0.912509010695372,0.920274421009681,-0.887732266275929,-0.482052080799299
"20057",20057,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,1,343,88,16.861903114919,33.6645387619928,"rabbit","cockatoo","sell",TRUE,-9,10.5,"rabbit","cockatoo",47.7884298265202,7.7297,7.7297,TRUE,FALSE,-1.83959213128597,0.940999319240134,0.940999319240134,0.920274421009681,-0.16488716737628,10.9630944011819
"20058",20058,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,2,343,316,39.8763492252454,35.2174913778059,"rabbit","peregrine","sell",TRUE,-8,10.5,"rabbit","peregrine",16.861903114919,5.1295,7.0131,TRUE,FALSE,-1.3314272460025,0.903800562580945,0.787425049380184,0.920274421009681,-2.11812457632206,-19.9634323104192
"20059",20059,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,3,343,346,57.3684439160287,39.6476818854505,"rabbit","rat","sell",TRUE,-7,10.5,"rabbit","rat",39.8763492252454,7.2403,5.854,TRUE,FALSE,-0.970878522025556,0.835944100093848,0.915943023101591,0.920274421009681,-0.664593195056626,3.05101379990707
"20060",20060,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,4,343,346,56.5890937010539,42.4712505213844,"rabbit","rat","sell",TRUE,-6,10.5,"rabbit","rat",57.3684439160287,0,0,FALSE,TRUE,-0.691215204793625,0,0,0.920274421009681,0.440161116006812,20.5431084906904
"20061",20061,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,5,343,346,55.272366983593,44.299981444557,"rabbit","rat","sell",TRUE,-5,10.5,"rabbit","rat",56.5890937010539,0,0,FALSE,TRUE,-0.46271363674208,0,0,0.920274421009681,0.390939423291231,19.7637582757157
"20062",20062,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,6,343,346,57.5527086031859,45.9565723393856,"rabbit","rat","sell",TRUE,-4,10.5,"rabbit","rat",55.272366983593,0,0,FALSE,TRUE,-0.269518313730731,0,0,0.920274421009681,0.30777845581866,18.4470315582547
"20063",20063,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,7,343,339,4.35927135890313,41.3346500082209,"rabbit","puppy","sell",TRUE,-3,10.5,"rabbit","puppy",57.5527086031859,6.1209,6.1209,TRUE,FALSE,-0.102164912765138,0.852534886941947,0.852534886941947,0.920274421009681,0.451798784971691,20.7273731778476
"20064",20064,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,8,343,24,45.4539537951647,41.7465803869153,"rabbit","beaver","sell",TRUE,-2,10.5,"rabbit","beaver",4.35927135890313,6.7266,4.2969,TRUE,FALSE,0.0454512485413952,0.724021773981824,0.887988429743502,0.920274421009681,-2.90775764064426,-32.4660640664352
"20065",20065,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,9,343,398,41.2058119248689,41.6974196176384,"rabbit","starling","sell",TRUE,-1,10.5,"rabbit","starling",45.4539537951647,4.5136,5.877,TRUE,FALSE,0.177498404466793,0.837399024342023,0.741435255767934,0.920274421009681,-0.312326482410011,8.62861836982644
"20066",20066,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,10,343,153,12.3305895631102,39.250183779761,"rabbit","frogmouth","sell",TRUE,0,10.5,"rabbit","frogmouth",41.2058119248689,5.2707,6.9566,TRUE,FALSE,0.296949586869625,0.90072752544083,0.797316023951698,0.920274421009681,-0.580627856726903,4.38047649953064
"20067",20067,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,11,343,52,21.5865543483025,37.8914430542642,"rabbit","burro","sell",TRUE,1,10.5,"rabbit","burro",12.3305895631102,7.3423,5.2697,TRUE,FALSE,0.405999972518338,0.797246760693298,0.921285803587237,0.920274421009681,-2.40431032306277,-24.4947458622281
"20068",20068,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,12,343,132,60.570873826595,39.511402395145,"rabbit","earthworm","sell",TRUE,2,10.5,"rabbit","earthworm",21.5865543483025,6.6405,3.7849,TRUE,FALSE,0.50631660285056,0.6798728658533,0.883121780059415,0.920274421009681,-1.81972813435095,-15.2387810770358
"20069",20069,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,13,343,132,58.6389755103923,40.7865739361615,"rabbit","earthworm","sell",TRUE,3,10.5,"rabbit","earthworm",60.570873826595,0,0,FALSE,TRUE,0.599195295529687,0,0,0.920274421009681,0.642418096209458,23.7455384012567
"20070",20070,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,14,343,132,60.4570890833644,42.0159811328616,"rabbit","earthworm","sell",TRUE,4,10.5,"rabbit","earthworm",58.6389755103923,0,0,FALSE,TRUE,0.685663289750269,0,0,0.920274421009681,0.520404522015531,21.813640085054
"20071",20071,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,15,343,132,58.3914256633274,42.9792425758302,"rabbit","earthworm","sell",TRUE,5,10.5,"rabbit","earthworm",60.4570890833644,0,0,FALSE,TRUE,0.76654869649528,0,0,0.920274421009681,0.635231753587872,23.6317536580261
"20072",20072,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,16,343,132,60.531605323958,43.9543738396151,"rabbit","earthworm","sell",TRUE,6,10.5,"rabbit","earthworm",58.3914256633274,0,0,FALSE,TRUE,0.842528856994034,0,0,0.920274421009681,0.504769930185189,21.5660902379891
"20073",20073,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,17,343,132,58.104180041461,44.6991004818175,"rabbit","earthworm","sell",TRUE,7,10.5,"rabbit","earthworm",60.531605323958,0,0,FALSE,TRUE,0.914164857801813,0,0,0.920274421009681,0.639938001724257,23.7062698986197
"20074",20074,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,18,343,132,57.7658764399295,45.3524392797231,"rabbit","earthworm","sell",TRUE,8,10.5,"rabbit","earthworm",58.104180041461,0,0,FALSE,TRUE,0.981926701533818,0,0,0.920274421009681,0.486628258492879,21.2788446161227
"20075",20075,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,19,343,132,59.740066588008,46.0375643896414,"rabbit","earthworm","sell",TRUE,9,10.5,"rabbit","earthworm",57.7658764399295,0,0,FALSE,TRUE,1.04621201372721,0,0,0.920274421009681,0.465261900212352,20.9405410145912
"20076",20076,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,25,20,343,132,60.143890960106,46.6787610519353,"rabbit","earthworm","sell",TRUE,10,10.5,"rabbit","earthworm",59.740066588008,0,0,FALSE,TRUE,1.10736018081316,0,0,0.920274421009681,0.589946514348238,22.9147311626697
"20077",20077,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,0,152,160,53.0513846641415,49.2965026378508,"frog","genet","sell",TRUE,-10,11.5,"frog","genet",45.54162061156,5.8133,5.8133,TRUE,FALSE,-2.70830574054639,0.83335751200943,0.83335751200943,0.965410184927821,-0.306789678781744,8.71628518622175
"20078",20078,32,2.62857979989209,0.0067379469990854,0.026682169469705,0.0154968353334764,26,1,152,160,51.2736867928072,49.9555640228362,"frog","genet","sell",TRUE,-9,11.5,"frog","genet",53.0513846641415,0,0,FALSE,TRUE,-1.83959213128597,0,0,0.965410184927821,0.167507102639755,16.2260492388032
