subjectID,l_fit,beta,tau,phi,NLL
2fnxwnvs,0.6611953848425345,0.13028822817940156,0.02426162133115298,0.027781372279669744,632.916323516977
kpel97ec,11.238839153116057,0.006737946999085467,0.03263361163430942,0.03395830347195382,1015.2251266453794
5q9pdlcx,0.5040369696519851,0.006737946999085467,0.0329964367599645,0.05374660505535972,713.2125973880632
7lf01veg,1.0122855640601665,0.19796234201956303,0.023547406075269332,0.03075462871952684,433.5079847276404
rvya0qp8,5.69751091313997,0.677329575089728,0.2897251747287981,0.2340393947418651,1147.7304917721663
cmhf9h7f,2.1940376297023008,0.2808250505626873,0.03079881294043567,0.04152227987572356,574.2389359747445
4aqbvkeg,9.899674489043683,0.1714334455207367,0.5105204531292524,0.5302396181980711,1171.4127750981245
0u0s8efv,9.66421764238241,0.6079843158964773,0.3916052539052416,0.5040324767902983,1104.6991257636428
vsz9su7d,0.5897575481265365,0.21647834597355636,0.03672684419015888,0.042039114825496784,1111.0033834306882
sm3b4qz5,1.7239890089325596,1.0867622467153386,0.08074546659044662,0.08560898679331447,1062.3068552981456
o1ev7h6r,0.7639624836423624,0.03994854811333835,0.009526368772483012,0.0110270571055853,269.1659155877195
9urfx3x5,5.33669706756624,0.006737946999085467,0.025524530951305028,0.02644415458047355,561.5050014821667
g3l3agcg,0.3889503232013801,0.0067379469990854705,0.029605740848122175,0.052336542628423355,769.081561641223
sg90jtjf,0.6071589086314904,0.008572938479011423,0.008848214681344191,0.009705161547661108,440.7021787349831
cvn547tp,4.887054454178608,0.006737946999085467,0.02806796610796418,0.038033996777310945,574.9434003170817
3hnhlq41,7.429734474070198,0.006737946999085467,0.02459685798625407,0.032143514084971035,567.3928995824814
1u45u548,0.8664867258824838,0.006737946999085473,0.022289226818289945,0.017089785807675742,1024.6865251294628
s23q96aj,1.7069761069908085,1.1032577198769964,0.08912810085084638,0.09401483921930479,1074.811842044463
9dj4jlkr,0.4512145763872967,0.13462770818362924,0.031974164267235844,0.04715388040368895,731.19639483476
w7mx2b49,11.230891947454303,0.006737946999085527,0.014506687279126141,0.0168248364410124,629.8348009246716
jgyk3u4o,1.9380908327270525,0.20701352621913793,0.024323509565925105,0.029625357722055597,580.7109141762222
vh11eq4r,0.5052232426157284,0.006737946999085467,0.021737751522565463,0.025874435828271744,583.252559597191
dfagdbqx,6.381921595727967,0.006737946999085467,0.033409026577698786,0.029952298969645734,849.1903240178449
pbzu2qus,5.325266443511271,0.006737946999085467,0.021014538307474306,0.030113487826571646,414.248107080877
y8pxsvuv,10.28030241594157,0.006737946999085467,0.6872078148723967,1.3577409190314058,853.9744452423357
bf9my2xy,1.588295800024434,0.9449912027716061,0.09001517696062644,0.10410690334571557,1062.8110067429436
4yzb4862,5.281253978676819,0.0067379469990854705,0.016347361881589004,0.020703929216995376,512.003521360903
tec0scn8,5.051904424973856,0.0067379469990854705,0.03415414255980604,0.036728284168609425,754.9151460205405
d4sgbqmd,9.275813173960408,0.006737946999085467,0.034462007603060965,0.024450975883971243,896.3020468091544
j99jksdb,9.646611443110528,0.006737946999085467,0.028146939035975975,0.032251183636937006,809.4832558725726
dxt2hbe5,8.233059201085773,0.006737946999085467,0.03155245866016692,0.04311967440350527,648.9750590258012
1y3mvrby,11.659789663423519,0.006737946999085467,0.05636510116713829,0.07779112265154633,876.1363411794744
aa79kq90,4.840067851353531,0.0067379469990854705,0.02423786182128715,0.031752478567629486,574.3256843433998
u12l2jht,3.0567267558507494,0.006737946999085467,0.012271768396249936,0.016787794467998864,582.2510530171487
a2taqc42,3.054834783716634,0.006737946999085467,0.03206246676766477,0.021813307175717767,886.5801761989528
fqz14k0q,8.624307840793714,0.006737946999085467,0.027968268511647743,0.034894148436209096,660.9143778216774
nm9h4e9g,2.8841002579038397,0.006737946999085467,0.017231816032050176,0.013943729974371034,299.32621762596057
s9szsy6w,12.163819628833856,0.006737946999085515,0.019446539328513507,0.027787964374670508,677.4556845688094
o52cwpzh,0.3908981431354807,0.14627769157847056,0.02215264973162861,0.0292596731053165,409.6294802408884
17fuqobw,13.16865111218613,0.006737946999085467,0.02061228484494413,0.029119699531633035,776.375449482788
pbun22w2,4.754793252150684,0.006737946999085467,0.02889812707930904,0.027060116393070533,956.4410153469611
mwxlwzyn,8.642029260766588,0.006737946999085467,0.02244667842293656,0.02669228602726258,377.0856640909688
4j8dqyzr,4.722825230045687,0.006737946999085467,0.02525715447166956,0.03633380499737664,517.4392984099832
dl4eyqbx,1.5489187897321328,0.9127651624528546,0.07334092315058593,0.07714747640554637,1051.5472206167806
h87phsot,1.0929218377276864,0.0067379469990854705,0.02469584533766546,0.030866921133339158,540.8055796465801
habsbkg8,0.7851936904030996,0.006737946999085473,0.013542585004742966,0.01751668926679678,502.01585464285733
1nls4u5q,8.373010987447806,0.006737946999085467,0.0372082208290852,0.03198267449079343,945.6702268079212
3tod3evk,7.558427491153498,0.006737946999085467,0.026515395658915152,0.03536407717384879,653.2944678112034
9n12tt53,2.0224771763521012,0.29497005695900363,0.029451406191295847,0.043614491030393894,645.0671662679929
r95qjqzn,1.607450130009508,0.9056009415408238,0.08317629410573954,0.11478741341672216,1027.213398264439
koqpugz2,6.357206649465728,0.006737946999085467,0.03218279932904472,0.03071148617130943,868.5712125664746
yl5llon7,3.4944080977239933,0.006737946999085467,0.023740795076713977,0.01867457622284327,650.1824055525617
7jt9qf11,1.853979320724094,0.0067379469990854705,0.02399255342060527,0.025418381727531424,664.0972510435347
tzz21om7,8.844483644238865,0.09347256010408234,0.0432737397352504,0.05104674417382724,788.5919986337872
82z353d6,2.9872640780354835,0.16566448858625715,0.026055919424206802,0.03625249749694065,534.6834872246424
x6dpln84,5.98860765252358,0.006737946999085467,0.019388084926836725,0.01762821952072976,863.0946586463751
a8qpexum,12.140394169016993,0.006737946999085467,0.10358239722489107,0.1271375586433193,1250.2835079752365
ufhuoag2,11.339210913250644,0.0067379469990854705,0.0335243224369145,0.050879001081475916,963.3917095985702
45my1fdt,5.238947652018112,0.006737946999085467,0.036612490804694545,0.03247803503252404,992.7421147181166
jb7pft02,5.124654257916238,0.006737946999085467,0.029026008824005634,0.029609513870397793,602.8242520424759
x4o058lj,2.4842249207753375,0.0067379469990854705,0.05383058103963395,0.06357645263075482,1034.5579641369645
abvg6ws6,6.234901791319915,0.006737946999085467,0.06808349862412742,0.06952898999795534,1157.0723624206594
ac20tx2t,1.0272167731560198,0.7676703858638193,0.09566146813888711,0.12846162600557248,1080.2837252093707
3b44614l,12.490211247844368,0.006737946999085467,0.016249020273997026,0.023217228680850285,380.2034228188622
gn0hmzkk,8.386733331927779,0.006737946999085467,0.03803956963895029,0.05089189774202565,828.8132568611255
bc7dt0ks,9.118049214848913,0.006737946999085482,0.023179219732792824,0.0341708512645741,624.5736119196828
