"","X","subjectID","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","performance","bonus","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"53",53,"qkprp7u8",2.38095238095238,2.51428571428571,5,5,204,51.5181818181819,0.448581818181821,210,0.847583658737031,-0.170404023523743,-0.0628237267304069,-0.172037448430808,-2.49848333674928
"54",54,"nrv2ltos",1.65714285714286,2.25238095238095,3,3,207,51.4136363636364,0.445236363636365,210,0.934280118253615,-0.360332955553902,-0.229528780721319,-0.287214720836707,-0.972416952578741
"55",55,"ummoyn5b",4.3,1.63809523809524,7,7,187,32.3136363636364,0,210,1.22204728032081,-0.325012374755274,-0.096255142081807,-0.240465381976108,-1.71355510290115
"56",56,"s23q96aj",2,2.11904761904762,14,14,186,51.8227272727272,0.45832727272727,210,0.660948306483302,-0.270852698612961,-0.14974163495896,-0.209341417183052,-1.30919208253402
"57",57,"qulmqfln",2.22380952380952,2.43333333333333,3,3,202,52.890909090909,0.492509090909088,210,0.201729351862011,-0.0210981846608218,-0.00164692589241329,0.00479636356317407,-1.97973928502146
"58",58,"fr9eyqln",2.21904761904762,2.25238095238095,3,3,203,57.059090909091,0.625890909090912,210,0.416642272060366,-0.178147476418768,-0.0119475586061547,-0.0444706266293463,-1.4740450460274
"59",59,"k7c9p0th",2.62380952380952,2.84761904761905,1,1,209,55.9318181818182,0.589818181818182,210,0.278647784693187,-0.0694173195183109,-0.052250912521263,0.00935348848343745,-0.0791760805979829
"60",60,"hy9efhu6",1.69047619047619,2.00952380952381,54,54,154,58.6454545454546,0.676654545454547,210,0.196948597151803,0.100293069928843,0.0187517392585361,0.0297756180032644,-1.42160576419987
"61",61,"c9fy7x92",2.98095238095238,3.0952380952381,23,23,181,56.4909090909092,0.607709090909094,210,0.314877966335486,-0.100930534268842,-0.0324914570438853,-0.0187046335055842,-1.36630513200787
"62",62,"lgtg6cjw",2.72857142857143,2.51428571428571,5,5,203,51.2045454545455,0.438545454545456,210,1.63342023542161,-0.252196580182587,-0.000457081503271922,-0.245281525256171,-0.22052306597563
"63",63,"lgyrvhz9",1.3952380952381,1.53809523809524,101,101,108,60.3318181818184,0.730618181818189,210,0.44391303863247,-0.062510486824853,-0.0486089990055697,-0.0386670058457637,-0.720836057881937
"64",64,"h4g65ryu",0.480952380952381,0.204761904761905,121,121,33,48.3909090909092,0.348509090909094,210,0.357115519568338,-0.0515000407333698,-0.0148531213074044,-0.0281327830177657,-1.37268288457179
"65",65,"4z1o75zp",0.919047619047619,1.02857142857143,126,126,80,56.3863636363637,0.604363636363638,210,-0.0877978559414412,-0.159922576670894,-0.0348585534542742,0.00225153336975821,0.237524872705514
"66",66,"3zy8k7oh",3.13333333333333,3.30952380952381,2,2,207,55.109090909091,0.563490909090912,210,0.746102952245483,-0.726077395572476,-0.273026529567029,-0.317920746507401,-1.11087679849292
"67",67,"mu0qm1l4",2.4047619047619,1.85714285714286,5,5,195,43.7818181818181,0.201018181818179,210,0.39544111978397,-0.144854218774173,-0.0591168133163931,-0.0697799129233719,-1.19906776311647
"68",68,"et0kuusz",0.666666666666667,0.885714285714286,163,163,46,68.7272727272727,0.999272727272727,210,0.159204454181726,0.0450487486320761,-0.00377829511605571,0.00683671594003207,-2.38984952163334
"69",69,"hanc2y2m",0.476190476190476,0.747619047619048,119,119,89,57.068181818182,0.626181818181824,210,0.153066647659328,-0.00682289846483547,-0.0013458538517527,0.00213240526644966,-1.39196302717805
"70",70,"28zss8zo",1.11428571428571,1.46190476190476,98,98,105,59.4999999999999,0.703999999999997,210,0.689159905258415,-0.294330898970548,-0.160289699813376,-0.179663928826265,-1.23489410308022
"71",71,"3f2c5lhp",1.98095238095238,2.93333333333333,63,63,140,62.0681818181817,0.786181818181815,210,0.806974672641297,-0.255998119454487,-0.149619238425402,-0.235295612466938,-1.09711811652899
"72",72,"wbxpjhzw",1.24761904761905,1.3047619047619,111,111,99,57.1863636363638,0.629963636363642,210,0.0777585279263896,-0.0133107943453781,-0.0106265884886277,0.0237762580418945,-0.663749564399947
"73",73,"okuug6ro",2.5047619047619,2.11428571428571,7,7,189,48.9818181818181,0.367418181818179,210,0.978505500440052,-0.31280830586575,-0.165005575340909,-0.220733286140271,-1.50945359164698
"74",74,"tc1z9vkv",2.08571428571429,2.52380952380952,7,7,202,56.1863636363635,0.597963636363632,210,0.38161314122245,-0.0645245274789363,-0.0203243862356257,-0.00256804766347196,-1.78724863846324
"75",75,"942rwz8e",1.17619047619048,1.74285714285714,101,101,104,64.5090909090912,0.864290909090918,210,0.34691278526691,-0.03874236060583,-0.010802392023648,-0.00861218959726043,-0.551089213900208
"76",76,"cm3vvtbb",2.01428571428571,2.2047619047619,0,0,208,51.6136363636364,0.451636363636365,210,0.329351828387496,0.0505107306291497,0.00479198622029463,0.0132275949210689,-0.665561467015548
"77",77,"4rymdpy9",2.1,2.7,26,26,183,53.7590909090908,0.520290909090905,210,1.14389524525786,-0.385605311455478,-0.264534019046821,-0.317651459412441,-1.85098580798006
"78",78,"cmhf9h7f",2.06666666666667,2.51428571428571,34,34,174,59.5727272727273,0.706327272727273,210,0.308914308829143,-0.230993104443505,-0.0233178008572587,-0.0991375902250506,-1.59560300212042
"79",79,"ac20tx2t",2.5,2.07142857142857,10,10,191,46.9409090909092,0.302109090909094,210,0.340381515117777,-0.0251079602482566,-0.00204543899491814,-0.0112309600317907,-0.403282788839958
"80",80,"pdpu75ae",0.814285714285714,0.938095238095238,141,141,69,62.3363636363636,0.794763636363635,210,0.0753371557780517,-0.0674928070041159,-0.00483382475920353,0.00122312946052235,-1.42990592965248
"81",81,"q7lmjhfx",6.12857142857143,6.45714285714286,1,1,202,39.1272727272727,0.0520727272727264,210,0.789696272282892,-0.355576340855825,-0.214420898774263,-0.283125499698753,-0.90435156366461
