"","X","subjectID","score","variation","variationR","bonus","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"94",94,"pcxgxry4",45.6681818181818,75,60,0.392072727272726,1.72465666666667,2.02067666666667,129,127,81,210,0.50736495849821,-0.229995659984899,-0.176337597166295,-0.188038536126373,-1.78108174912612
"95",95,"0u0s8efv",38.2045454545455,51,38,0.033818181818184,5.35528476190476,4.58989428571429,5,0,205,210,0.664376591945242,-0.324934652515346,-0.261024237127842,-0.241820124072079,-1.17490867271011
"96",96,"cmhf9h7f",55.3090909090909,44,36,0.854836363636363,1.93948761904762,2.36014666666667,118,118,92,210,0.644253926234591,-0.524116827398509,-0.331433081827046,-0.306712904333079,-1.18484178538952
"97",97,"5l05oj47",42.35,62,48,0.2328,0.977287619047619,1.43615380952381,165,151,45,210,0.82897456969118,-0.455710551012983,-0.314996030741184,-0.304947891885823,-0.728007091163138
"98",98,"7lf01veg",54.6500000000001,56,47,0.823200000000005,1.22157380952381,1.48392476190476,147,147,63,210,0.477084852476545,-0.311657678269385,-0.0839539282623252,-0.158672380528976,-0.818807100271477
"99",99,"f421z9m5",50.1090909090909,40,30,0.605236363636364,1.32122428571429,2.05844571428571,155,138,55,210,0.829124096679524,-0.189003964302168,-0.0863656985826973,-0.14461563137563,-0.870057103201385
"100",100,"e8ga874k",52.9045454545455,41,39,0.739418181818184,1.19831619047619,1.75471380952381,151,150,59,210,0.519639031634347,-0.30965357665986,-0.142484880466647,-0.226230877046766,-1.01910587748223
"101",101,"rvya0qp8",36.4363636363637,137,91,0,4.31155238095238,4.27443047619048,9,2,201,210,0.827908087322764,-0.387565867912079,-0.245447341789207,-0.259164011385411,-1.42883386672328
"102",102,"gjx1xqve",39.7545454545455,23,17,0.108218181818184,0.170200952380952,0.264984761904762,202,199,8,210,0.394141829021633,-0.614823014860579,-0.19190440350345,-0.181924163700216,-0.894147483341849
"103",103,"9gmqg3ya",35.3363636363637,27,26,0,1.76669714285714,1.81012904761905,174,111,36,210,0.604711856174404,-0.160003351435851,-0.0991448824507637,-0.13086058987293,-1.0241323643289
"104",104,"po8p7b2t",48.3909090909092,77,62,0.522763636363642,3.19006333333333,3.66683666666667,70,64,140,210,0.280718888624831,-0.0763545864782428,-0.00105117489662537,-0.00361502775677494,-0.290285093014935
