"","X","subjectID","score","variation","variationR","bonus","av_distance","av_distance_prev","reclicks","HVclicks","Novclicks","trials","slope_score","slope_novel","slope_dprev","slope_dhv","slope_dprew"
"105",105,"ovbum0qq",43.75,193,136,0.3,4.0811780952381,4.39642857142857,5,3,205,210,0.272256993965646,-0.426596474154697,-0.135699462092044,-0.104205500248273,-0.49690313557789
"106",106,"h4g65ryu",44.4409090909091,45,26,0.333163636363637,2.11258142857143,2.01852238095238,142,106,68,210,0.78816663632174,-0.311393382147468,-0.263964149855641,-0.286583293970019,-1.45171042236509
"107",107,"4rymdpy9",51.5590909090908,71,62,0.674836363636359,2.8159680952381,3.36014476190476,87,86,123,210,0.561028274989928,-0.431986936919207,-0.276852946856789,-0.231351861092922,-0.823943973822201
"108",108,"sm3b4qz5",43.8772727272727,103,78,0.30610909090909,4.71334714285714,4.6690319047619,1,0,209,210,0.994149710707866,-0.507150096015637,-0.371822783518804,-0.342266343609991,-1.43166402799099
"109",109,"l1yxf867",54.1590909090909,99,73,0.799636363636363,2.26623047619048,2.86868523809524,94,92,116,210,1.04418460408093,-0.491023757162651,-0.347462539970714,-0.342647344852638,-1.31138576293787
"110",110,"q7lmjhfx",33.2318181818181,17,12,0,0.600005714285714,0.943301904761905,206,186,4,210,1.05314108011083,-0.40346765474902,-0.288475034984214,-0.286342257524676,-1.29708411358085
"111",111,"3tfwxrwx",35.5045454545454,18,9,0,0.370451904761905,0.445138095238095,206,197,4,210,0.836548140663336,-0.397780756219596,-0.298419959709254,-0.266036709675023,-1.31992363193998
"112",112,"lsedd4sa",44.7818181818181,43,28,0.349527272727269,0.92777,0.977019523809524,180,163,30,210,0.957044472931104,-0.283777159200184,-0.221794456124369,-0.275530206522591,-1.41856290452379
"113",113,"r1nr0t86",48.7318181818181,44,32,0.539127272727269,1.52091952380952,1.88430666666667,151,142,59,210,0.971827183954489,-0.383071700600566,-0.255930133232587,-0.240133094688809,-1.65728297003895
"114",114,"vqspl1ff",53.7409090909092,27,17,0.779563636363642,1.74154904761905,2.51780904761905,145,139,65,210,0.57556131657317,-0.395192052918595,-0.265882266290227,-0.227009845216448,-0.574914404915004
"115",115,"4aqbvkeg",37.0181818181819,85,65,0,4.85272619047619,4.63269238095238,13,0,197,210,0.847050328043379,-0.507498820338258,-0.319893575952887,-0.29217428915565,-1.23207472028363
"116",116,"v6rahg9p",48.8500000000001,60,42,0.544800000000005,2.02827,2.43386380952381,113,112,97,210,1.00830264185032,-0.250838795034141,-0.200418248453067,-0.199132584370739,-1.25684134961688
"117",117,"uex0utrw",53.2227272727272,62,41,0.754690909090906,1.59096619047619,2.1172619047619,138,137,72,210,0.684929857846847,-0.343746225113841,-0.260655970623959,-0.269377075035523,-0.961742230778617
"118",118,"fgkau3dc",47.8545454545454,158,87,0.497018181818179,3.26467571428571,3.87924095238095,76,58,134,210,-0.0725497036002908,-0.0447435160755315,0.00424522376339362,0.00387498237031011,-0.0950330427333916
"119",119,"sn8pstys",40.1272727272726,84,62,0.126109090909085,5.24717428571429,4.85288238095238,2,0,208,210,0.890908473284752,-0.386554708710267,-0.324307753264312,-0.302413743988958,-1.48635853889156
"120",120,"ww3mrcvc",36.1636363636364,49,29,0,4.30272952380952,4.60690476190476,120,26,90,210,0.682956242941725,-0.360001102217447,-0.265668272648369,-0.24006980107405,-1.28888458273435
"121",121,"yjk4v9ot",51.8454545454545,19,19,0.688581818181816,0.993257619047619,1.15352666666667,171,171,39,210,0.736159313745965,-0.0992841124535186,-0.0805090826499573,-0.114758921247756,-1.61442822380892
"122",122,"pkvny0ef",34.8454545454546,75,49,0,4.20735095238095,3.28658523809524,86,34,124,210,0.015239738641937,-0.169589488580584,0.00193389978082581,0.00344277549119365,-0.114260171728101
"123",123,"uo65uyqg",46.5045454545453,80,67,0.432218181818174,2.08087428571429,2.45935,94,89,116,210,1.27017084390976,-0.248217783731101,-0.273019870024245,-0.259844326654885,-1.18473875929203
"124",124,"vsz9su7d",38.6954545454547,104,68,0.0573818181818258,3.58693619047619,3.74068476190476,59,40,151,210,1.08706660076618,-0.338952552100851,-0.287398747556551,-0.264059773708988,-1.44534232711746
"125",125,"tc1z9vkv",49.7318181818183,71,50,0.587127272727278,1.46129333333333,1.71861761904762,153,130,57,210,0.679333622196681,-0.500135510169295,-0.278592051367251,-0.263197870298155,-1.50891489470489
"126",126,"9dj4jlkr",47.9772727272728,73,44,0.502909090909094,2.12853238095238,2.83367619047619,118,112,92,210,0.791755272644294,-0.223234040087984,-0.221393545031006,-0.237886058831926,-1.29991224292556
"127",127,"bf9my2xy",44.5181818181819,124,90,0.336872727272731,4.61841476190476,4.75770238095238,5,0,205,210,0.201778238859833,-0.188820762921088,-0.00657833247212239,-0.0662779176933275,0.0757832694233578
"128",128,"mu0qm1l4",46.2136363636363,45,37,0.418254545454542,3.22504047619048,2.86175857142857,117,86,93,210,0.822232134435142,-0.578216548382036,-0.302695695347156,-0.2676995427837,-1.29563919096794
"129",129,"k6vyw9pp",41.0454545454545,129,108,0.170181818181816,3.07268380952381,3.5497780952381,57,47,153,210,0.412680792693335,-0.19000228590999,-0.0948146487287454,-0.0950796498844063,-0.713658982826642
"130",130,"0kw6wclk",52.4954545454547,54,47,0.719781818181825,1.55561952380952,2.03883714285714,137,133,73,210,0.562631972802174,-0.465881707491571,-0.227596389470971,-0.206607065413157,-1.4096953226382
"131",131,"o1ev7h6r",52.5863636363637,32,22,0.724145454545458,0.808231428571429,0.871186666666667,176,175,34,210,0.508414074447795,-0.378088857073892,-0.289418288204375,-0.244314470529728,-0.569403073338503
"132",132,"abvg6ws6",39.740909090909,96,74,0.107563636363632,4.57740142857143,4.31605571428571,44,17,166,210,0.247918405489928,-0.0975340116239374,-0.000449372972453538,-0.00971469047884416,-0.321325686550979
